iso3,country,region,subregion,GDP_capita_PPP_1999,GDP_capita_PPP_2000,GDP_capita_PPP_2001,GDP_capita_PPP_2002,GDP_capita_PPP_2003,GDP_capita_PPP_2004,GDP_capita_PPP_2005,GDP_capita_PPP_2006,GDP_capita_PPP_2007,GDP_capita_PPP_2008,GDP_capita_PPP_2009,GDP_capita_PPP_2010,GDP_capita_PPP_2011,GDP_capita_PPP_2012,GDP_capita_PPP_2013,GDP_capita_PPP_2014,GDP_capita_PPP_2015,GDP_capita_PPP_2016,GDP_capita_PPP_2017,population_2017,u5mr_1999,u5mr_2000,u5mr_2001,u5mr_2002,u5mr_2003,u5mr_2004,u5mr_2005,u5mr_2006,u5mr_2007,u5mr_2008,u5mr_2009,u5mr_2010,u5mr_2011,u5mr_2012,u5mr_2013,u5mr_2014,u5mr_2015,u5mr_2016,u5mr_2017,basic_sanitation_2015,basic_water_2015,Fruit_2016,Vegetables_2016,Whole grain_2016,Calcium_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar_sweetened_beverages_2016,Trans fat_2016,child_overweight_plan,fbdg,overweight_adults_adoles_plan,sugar_tax,sodium_plan,wasting_plan,country_class,gender_inequality_score_2017,gender_inequality_rank_2017,female_secondary_enroll_net_1999,female_secondary_enroll_net_2000,female_secondary_enroll_net_2001,female_secondary_enroll_net_2002,female_secondary_enroll_net_2003,female_secondary_enroll_net_2004,female_secondary_enroll_net_2005,female_secondary_enroll_net_2006,female_secondary_enroll_net_2007,female_secondary_enroll_net_2008,female_secondary_enroll_net_2009,female_secondary_enroll_net_2010,female_secondary_enroll_net_2011,female_secondary_enroll_net_2012,female_secondary_enroll_net_2013,female_secondary_enroll_net_2014,female_secondary_enroll_net_2015,female_secondary_enroll_net_2016,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,fruit_veg_availability_1999,fruit_veg_availability_2000,fruit_veg_availability_2001,fruit_veg_availability_2002,fruit_veg_availability_2003,fruit_veg_availability_2004,fruit_veg_availability_2005,fruit_veg_availability_2006,fruit_veg_availability_2007,fruit_veg_availability_2008,fruit_veg_availability_2009,fruit_veg_availability_2010,fruit_veg_availability_2011,fruit_veg_availability_2012,fruit_veg_availability_2013
AFG,Afghanistan,Asia,Southern Asia,No data,No data,No data,1063.64,1099.19,1062.25,1136.12,1161.12,1284.78,1298.14,1531.17,1614.26,1660.74,1839.27,1848.7,1838.96,1809.02,1802.7,1803.99,35530.08,132.3,128.8,125.3,121.7,117.9,114.1,110.1,106.1,102,97.9,93.9,90,86.2,82.6,79.2,76,73.1,70.4,67.9,39.22,62.98,39.99,67.93,64.30,0.28,0.27,10.10,4.23,0.08,93.27,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.65,151.00,No data,No data,No data,No data,No data,No data,No data,No data,14.83,No data,No data,No data,No data,No data,33.94,34.25,34.58,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,149.42,148.16,169.22,144.32,152.59,131.37,161.16,163.08,154.19,142.22,161.04,163.75,153.16,175.67,172.67
AGO,Angola,Africa,Middle Africa,2873.88,2873.19,2898.43,3184.02,3213.68,3418.33,3987.81,4578.83,5443.12,5978.32,5908.04,5897.68,5911.25,5999.9,6188,6257.15,6227.66,5972.45,5819.49,29784.19,211.4,206.3,200.3,193.4,185.7,177,167.8,158.2,148.7,139.3,130,121.3,113.2,105.8,99.2,93.6,88.9,84.6,81.1,39.43,41.01,110.16,108.27,26.53,0.29,1.05,16.11,3.36,0.07,84.98,0.00,No,No,Yes,No,No,Yes,experiencing three forms of malnutrition,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,8.56,9.04,10.07,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,124.67,132.29,139.01,159.86,179.81,198.95,212.50,226.94,232.90,310.71,401.33,408.53,412.78,395.99,432.87
ALB,Albania,Europe,Southern Europe,5280.53,5668.57,6176.37,6457.05,6855.45,7277.21,7733.01,8204.59,8754.57,9153.79,9524.65,9927.18,10207.76,10369.82,10492.81,10701.12,10970.45,11356.34,11803.43,2930.19,26.1,24.5,22.9,21.4,19.9,18.5,17.2,16,14.8,13.8,12.8,12,11.3,10.7,10.1,9.7,9.4,9.1,8.8,32.87,22.52,146.58,393.68,20.80,1.12,7.37,26.44,4.61,0.09,87.80,0.00,No,Yes,Yes,No,No,No,experiencing three forms of malnutrition,0.24,52.00,No data,65.72,67.32,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,84.06,84.43,84.96,84.80,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,580.85,622.74,674.86,710.73,759.51,764.05,791.39,824.88,833.68,890.43,897.38,1013.08,1053.11,1072.50,1060.54
AND,Andorra,Europe,Southern Europe,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,76.97,5.2,5,4.8,4.7,4.5,4.4,4.3,4.2,4.2,4.1,4,3.9,3.9,3.8,3.7,3.6,3.5,3.4,3.3,0.00,100.00,158.80,223.57,31.48,0.90,9.63,53.03,4.21,0.09,99.26,0.00,Yes,No,Yes,No,No,No,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
ARE,United Arab Emirates,Asia,Western Asia,97753.83,102634.92,98716.97,95894.91,97790.18,98076.53,91798.26,88086.36,78830.28,71314.67,60769.86,57232.62,58363.68,59419.09,61688.38,63943.19,66569.4,67705.95,67293.48,9400.15,11.6,11.2,10.9,10.6,10.3,10,9.7,9.4,9.1,8.8,8.6,8.4,8.3,8.2,8.3,8.5,8.7,9,9.1,6.61,99.63,153.59,171.36,29.64,0.61,1.33,21.92,4.26,0.07,113.11,0.00,No data,No,No data,Yes,No data,No data,No data,0.23,49.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,85.56,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,1098.79,1029.50,835.80,857.62,745.33,785.46,571.42,637.62,527.27,564.40,431.11,424.31,434.54,457.96,510.40
ARG,Argentina,Latin America and the Caribbean,South America,15186.13,14899.87,14085.58,12412.61,13361.4,14410.15,15518.68,16592.26,17900.71,18436.86,17168.38,18712.06,19629.35,19224.87,19482.19,18797.55,19116.91,18584.58,18933.91,44271.04,20.6,19.8,19,18.3,17.6,17,16.5,16.1,15.7,15.4,15,14.5,13.9,13.3,12.7,12,11.4,10.9,10.4,68.36,1.10,173.84,144.60,14.96,0.58,3.70,70.85,3.80,0.07,59.78,0.00,Yes,Yes,Yes,No,Yes,No,experiencing one form of malnutrition,0.36,80.00,79.33,81.36,81.89,81.73,81.81,82.55,82.59,83.20,83.63,85.13,86.94,87.85,89.27,90.84,91.19,90.92,90.94,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,483.51,496.73,516.82,429.36,418.49,414.89,403.60,390.59,365.47,390.33,386.28,386.87,443.17,420.57,398.31
ARM,Armenia,Asia,Western Asia,2744.43,2924.75,3224.14,3669.44,4206.98,4673.98,5356.61,6110.23,7010.63,7558.36,6532.96,6702.85,7022.1,7511.13,7727.93,7971.12,8195.93,8190.24,8787.58,2930.45,31.6,30,28.5,27.1,25.8,24.5,23.3,22.1,21,20,19,18,17.1,16.3,15.5,14.7,14,13.3,12.6,91.58,38.34,93.62,460.08,21.35,0.78,1.46,20.63,4.74,0.09,104.78,0.00,Yes,No,Yes,No,No,Yes,experiencing two forms of malnutrition,0.26,55.00,No data,No data,No data,No data,No data,No data,No data,No data,91.98,85.28,91.67,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,490.82,461.79,473.10,558.56,625.95,725.24,928.86,1061.98,1152.36,1197.64,1211.83,977.84,1068.37,1260.19,1259.63
ATG,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,18102.2,18908.49,17660.52,17591.34,18437.51,19282.23,20289.71,22606.84,24408.18,24111.38,20942.3,19212.72,18605.32,19047.2,18823.75,19573.83,20154.95,21013.02,21490.94,102.01,15.6,14.9,14.2,13.6,13,12.5,12,11.5,11.1,10.7,10.3,9.8,9.5,9.1,8.7,8.3,8,7.7,7.4,87.50,96.74,129.80,91.98,84.68,0.37,1.90,17.24,3.08,0.11,169.18,0.00,Yes,Yes,Yes,No,Yes,Yes,No data,No data,No data,No data,59.39,No data,No data,No data,No data,No data,No data,No data,No data,80.08,79.76,No data,86.76,No data,74.37,75.81,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,584.18,605.67,536.32,522.94,529.15,544.69,783.98,685.79,757.69,679.03,674.22,625.77,666.75,586.24,635.89
AUS,Australia,Oceania,Australia and New Zealand,34443.87,35377.73,35578.64,36553.96,37183.68,38225.69,38928.04,39445.13,40680.19,41331.53,41266.87,41464.04,41894.17,42754.46,43118.09,43547.2,43923.26,44493.48,44648.71,24450.56,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.4,5.2,5,4.8,4.6,4.3,4.2,4,3.8,3.7,3.5,25.79,99.97,102.51,146.81,19.10,0.75,5.55,69.54,2.96,0.12,58.07,0.01,No,Yes,Yes,No,Yes,No,experiencing one form of malnutrition,0.11,23.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,94.22,93.65,On course,No progress or worsening,On course,No progress or worsening,485.41,517.64,552.30,520.37,530.87,552.39,564.07,543.11,561.33,558.62,536.33,542.12,522.68,524.33,523.27
AUT,Austria,Europe,Western Europe,37666.41,38844.4,39186.34,39638.03,39816.77,40652.81,41282.88,42498.01,43939.43,44441.79,42656.85,43336.2,44452.73,44551.62,44301.1,44320.5,44304.97,44464.35,45436.69,8735.45,5.6,5.5,5.4,5.3,5.2,5.1,4.9,4.8,4.6,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.7,3.6,3.6,3.19,1.31,139.72,153.22,26.26,0.73,5.70,77.15,4.19,0.09,104.15,0.00,Yes,Yes,Yes,No,No,No,No data,0.07,13.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,563.17,573.32,614.46,580.03,634.48,666.28,648.92,654.66,672.78,708.22,634.91,647.69,726.39,713.00,706.40
