variable,description
adult_anemia_1999,"Anaemia among women of reproductive age (%), 1999"
adult_anemia_2000,"Anaemia among women of reproductive age (%), 2000"
adult_anemia_2001,"Anaemia among women of reproductive age (%), 2001"
adult_anemia_2002,"Anaemia among women of reproductive age (%), 2002"
adult_anemia_2003,"Anaemia among women of reproductive age (%), 2003"
adult_anemia_2004,"Anaemia among women of reproductive age (%), 2004"
adult_anemia_2005,"Anaemia among women of reproductive age (%), 2005"
adult_anemia_2006,"Anaemia among women of reproductive age (%), 2006"
adult_anemia_2007,"Anaemia among women of reproductive age (%), 2007"
adult_anemia_2008,"Anaemia among women of reproductive age (%), 2008"
adult_anemia_2009,"Anaemia among women of reproductive age (%), 2009"
adult_anemia_2010,"Anaemia among women of reproductive age (%), 2010"
adult_anemia_2011,"Anaemia among women of reproductive age (%), 2011"
adult_anemia_2012,"Anaemia among women of reproductive age (%), 2012"
adult_anemia_2013,"Anaemia among women of reproductive age (%), 2013"
adult_anemia_2014,"Anaemia among women of reproductive age (%), 2014"
adult_anemia_2015,"Anaemia among women of reproductive age (%), 2015"
adult_anemia_2016,"Anaemia among women of reproductive age (%), 2016"
adult_anemia_2017,"Anaemia among women of reproductive age (%), 2017"
adult_blood_pressure_1999,"Adult raised blood pressure (18+ years) (%), 1999"
adult_blood_pressure_2000,"Adult raised blood pressure (18+ years) (%), 2000"
adult_blood_pressure_2001,"Adult raised blood pressure (18+ years) (%), 2001"
adult_blood_pressure_2002,"Adult raised blood pressure (18+ years) (%), 2002"
adult_blood_pressure_2003,"Adult raised blood pressure (18+ years) (%), 2003"
adult_blood_pressure_2004,"Adult raised blood pressure (18+ years) (%), 2004"
adult_blood_pressure_2005,"Adult raised blood pressure (18+ years) (%), 2005"
adult_blood_pressure_2006,"Adult raised blood pressure (18+ years) (%), 2006"
adult_blood_pressure_2007,"Adult raised blood pressure (18+ years) (%), 2007"
adult_blood_pressure_2008,"Adult raised blood pressure (18+ years) (%), 2008"
adult_blood_pressure_2009,"Adult raised blood pressure (18+ years) (%), 2009"
adult_blood_pressure_2010,"Adult raised blood pressure (18+ years) (%), 2010"
adult_blood_pressure_2011,"Adult raised blood pressure (18+ years) (%), 2011"
adult_blood_pressure_2012,"Adult raised blood pressure (18+ years) (%), 2012"
adult_blood_pressure_2013,"Adult raised blood pressure (18+ years) (%), 2013"
adult_blood_pressure_2014,"Adult raised blood pressure (18+ years) (%), 2014"
adult_blood_pressure_2015,"Adult raised blood pressure (18+ years) (%), 2015"
adult_diabetes_1999,"Adult diabetes (18+ years) (%), 1999"
adult_diabetes_2000,"Adult diabetes (18+ years) (%), 2000"
adult_diabetes_2001,"Adult diabetes (18+ years) (%), 2001"
adult_diabetes_2002,"Adult diabetes (18+ years) (%), 2002"
adult_diabetes_2003,"Adult diabetes (18+ years) (%), 2003"
adult_diabetes_2004,"Adult diabetes (18+ years) (%), 2004"
adult_diabetes_2005,"Adult diabetes (18+ years) (%), 2005"
adult_diabetes_2006,"Adult diabetes (18+ years) (%), 2006"
adult_diabetes_2007,"Adult diabetes (18+ years) (%), 2007"
adult_diabetes_2008,"Adult diabetes (18+ years) (%), 2008"
adult_diabetes_2009,"Adult diabetes (18+ years) (%), 2009"
adult_diabetes_2010,"Adult diabetes (18+ years) (%), 2010"
adult_diabetes_2011,"Adult diabetes (18+ years) (%), 2011"
adult_diabetes_2012,"Adult diabetes (18+ years) (%), 2012"
adult_diabetes_2013,"Adult diabetes (18+ years) (%), 2013"
adult_diabetes_2014,"Adult diabetes (18+ years) (%), 2014"
adult_obesity_1999,"Adult obesity (18+ years) (%), 1999"
adult_obesity_2000,"Adult obesity (18+ years) (%), 2000"
adult_obesity_2001,"Adult obesity (18+ years) (%), 2001"
adult_obesity_2002,"Adult obesity (18+ years) (%), 2002"
adult_obesity_2003,"Adult obesity (18+ years) (%), 2003"
adult_obesity_2004,"Adult obesity (18+ years) (%), 2004"
adult_obesity_2005,"Adult obesity (18+ years) (%), 2005"
adult_obesity_2006,"Adult obesity (18+ years) (%), 2006"
adult_obesity_2007,"Adult obesity (18+ years) (%), 2007"
adult_obesity_2008,"Adult obesity (18+ years) (%), 2008"
adult_obesity_2009,"Adult obesity (18+ years) (%), 2009"
adult_obesity_2010,"Adult obesity (18+ years) (%), 2010"
adult_obesity_2011,"Adult obesity (18+ years) (%), 2011"
adult_obesity_2012,"Adult obesity (18+ years) (%), 2012"
adult_obesity_2013,"Adult obesity (18+ years) (%), 2013"
adult_obesity_2014,"Adult obesity (18+ years) (%), 2014"
adult_obesity_2015,"Adult obesity (18+ years) (%), 2015"
adult_obesity_2016,"Adult obesity (18+ years) (%), 2016"
adult_overweight_1999,"Adult overweight (18+ years) (%), 1999"
adult_overweight_2000,"Adult overweight (18+ years) (%), 2000"
adult_overweight_2001,"Adult overweight (18+ years) (%), 2001"
adult_overweight_2002,"Adult overweight (18+ years) (%), 2002"
adult_overweight_2003,"Adult overweight (18+ years) (%), 2003"
adult_overweight_2004,"Adult overweight (18+ years) (%), 2004"
adult_overweight_2005,"Adult overweight (18+ years) (%), 2005"
adult_overweight_2006,"Adult overweight (18+ years) (%), 2006"
adult_overweight_2007,"Adult overweight (18+ years) (%), 2007"
adult_overweight_2008,"Adult overweight (18+ years) (%), 2008"
adult_overweight_2009,"Adult overweight (18+ years) (%), 2009"
adult_overweight_2010,"Adult overweight (18+ years) (%), 2010"
adult_overweight_2011,"Adult overweight (18+ years) (%), 2011"
adult_overweight_2012,"Adult overweight (18+ years) (%), 2012"
adult_overweight_2013,"Adult overweight (18+ years) (%), 2013"
adult_overweight_2014,"Adult overweight (18+ years) (%), 2014"
adult_overweight_2015,"Adult overweight (18+ years) (%), 2015"
adult_overweight_2016,"Adult overweight (18+ years) (%), 2016"
adult_sodium_2016,"Mean population intake of salt (g/day), 2016"
continued_breastfeeding_1yr_1999,"Continued breastfeeding (at 1 year) (%), 1999"
continued_breastfeeding_1yr_2000,"Continued breastfeeding (at 1 year) (%), 2000"
continued_breastfeeding_1yr_2001,"Continued breastfeeding (at 1 year) (%), 2001"
continued_breastfeeding_1yr_2002,"Continued breastfeeding (at 1 year) (%), 2002"
continued_breastfeeding_1yr_2003,"Continued breastfeeding (at 1 year) (%), 2003"
continued_breastfeeding_1yr_2004,"Continued breastfeeding (at 1 year) (%), 2004"
continued_breastfeeding_1yr_2005,"Continued breastfeeding (at 1 year) (%), 2005"
continued_breastfeeding_1yr_2006,"Continued breastfeeding (at 1 year) (%), 2006"
continued_breastfeeding_1yr_2007,"Continued breastfeeding (at 1 year) (%), 2007"
continued_breastfeeding_1yr_2008,"Continued breastfeeding (at 1 year) (%), 2008"
continued_breastfeeding_1yr_2009,"Continued breastfeeding (at 1 year) (%), 2009"
continued_breastfeeding_1yr_2010,"Continued breastfeeding (at 1 year) (%), 2010"
continued_breastfeeding_1yr_2011,"Continued breastfeeding (at 1 year) (%), 2011"
continued_breastfeeding_1yr_2012,"Continued breastfeeding (at 1 year) (%), 2012"
continued_breastfeeding_1yr_2013,"Continued breastfeeding (at 1 year) (%), 2013"
continued_breastfeeding_1yr_2014,"Continued breastfeeding (at 1 year) (%), 2014"
continued_breastfeeding_1yr_2015,"Continued breastfeeding (at 1 year) (%), 2015"
continued_breastfeeding_1yr_2016,"Continued breastfeeding (at 1 year) (%), 2016"
continued_breastfeeding_1yr_2017,"Continued breastfeeding (at 1 year) (%), 2017"
continued_breastfeeding_2yr_1999,"Continued breastfeeding (at 2 year) (%), 1999"
continued_breastfeeding_2yr_2000,"Continued breastfeeding (at 2 year) (%), 2000"
continued_breastfeeding_2yr_2001,"Continued breastfeeding (at 2 year) (%), 2001"
continued_breastfeeding_2yr_2002,"Continued breastfeeding (at 2 year) (%), 2002"
continued_breastfeeding_2yr_2003,"Continued breastfeeding (at 2 year) (%), 2003"
continued_breastfeeding_2yr_2004,"Continued breastfeeding (at 2 year) (%), 2004"
continued_breastfeeding_2yr_2005,"Continued breastfeeding (at 2 year) (%), 2005"
continued_breastfeeding_2yr_2006,"Continued breastfeeding (at 2 year) (%), 2006"
continued_breastfeeding_2yr_2007,"Continued breastfeeding (at 2 year) (%), 2007"
continued_breastfeeding_2yr_2008,"Continued breastfeeding (at 2 year) (%), 2008"
continued_breastfeeding_2yr_2009,"Continued breastfeeding (at 2 year) (%), 2009"
continued_breastfeeding_2yr_2010,"Continued breastfeeding (at 2 year) (%), 2010"
continued_breastfeeding_2yr_2011,"Continued breastfeeding (at 2 year) (%), 2011"
continued_breastfeeding_2yr_2012,"Continued breastfeeding (at 2 year) (%), 2012"
continued_breastfeeding_2yr_2013,"Continued breastfeeding (at 2 year) (%), 2013"
continued_breastfeeding_2yr_2014,"Continued breastfeeding (at 2 year) (%), 2014"
continued_breastfeeding_2yr_2015,"Continued breastfeeding (at 2 year) (%), 2015"
continued_breastfeeding_2yr_2016,"Continued breastfeeding (at 2 year) (%), 2016"
continued_breastfeeding_2yr_2017,"Continued breastfeeding (at 2 year) (%), 2017"
early_initiation,Early initiation of breastfeeding (within 1 hour after birth) (%)
early_initiation_1999,"Early initiation of breastfeeding (within 1 hour after birth) (%), 1999"
early_initiation_2000,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2000"
early_initiation_2001,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2001"
early_initiation_2002,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2002"
early_initiation_2003,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2003"
early_initiation_2004,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2004"
early_initiation_2005,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2005"
early_initiation_2006,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2006"
early_initiation_2007,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2007"
early_initiation_2008,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2008"
early_initiation_2009,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2009"
early_initiation_2010,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2010"
early_initiation_2011,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2011"
