iso3,country,disagg.value,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016
AFG,Afghanistan,Female,3.22,3.39,3.58,3.78,3.99,4.20,4.43,4.66,4.91,5.16,5.43,5.71,6.00,6.31,6.62,6.95,7.29,7.65
AFG,Afghanistan,Male,1.10,1.17,1.25,1.34,1.43,1.52,1.62,1.73,1.84,1.96,2.09,2.22,2.36,2.52,2.68,2.85,3.03,3.22
AGO,Angola,Female,5.34,5.63,5.94,6.25,6.58,6.93,7.29,7.66,8.04,8.44,8.85,9.27,9.70,10.15,10.61,11.09,11.57,12.07
AGO,Angola,Male,1.32,1.41,1.51,1.62,1.73,1.85,1.98,2.12,2.26,2.42,2.58,2.76,2.94,3.14,3.34,3.56,3.80,4.05
ALB,Albania,Female,14.34,14.67,15.02,15.40,15.79,16.20,16.62,17.06,17.51,17.98,18.45,18.92,19.40,19.88,20.36,20.84,21.33,21.80
ALB,Albania,Male,11.21,11.65,12.13,12.63,13.15,13.70,14.27,14.86,15.47,16.11,16.75,17.42,18.09,18.77,19.46,20.16,20.86,21.57
AND,Andorra,Female,23.61,23.76,23.89,24.02,24.14,24.25,24.36,24.46,24.55,24.64,24.72,24.80,24.89,24.97,25.05,25.14,25.24,25.34
AND,Andorra,Male,20.22,20.58,20.93,21.28,21.62,21.95,22.29,22.61,22.94,23.26,23.57,23.89,24.21,24.52,24.85,25.17,25.51,25.86
ARE,United Arab Emirates,Female,32.22,32.68,33.16,33.66,34.17,34.68,35.21,35.73,36.25,36.78,37.32,37.85,38.39,38.92,39.45,39.98,40.51,41.04
ARE,United Arab Emirates,Male,17.18,17.66,18.17,18.70,19.25,19.81,20.39,20.98,21.58,22.20,22.83,23.47,24.12,24.78,25.44,26.12,26.81,27.51
ARG,Argentina,Female,21.75,22.14,22.54,22.94,23.34,23.75,24.16,24.58,25.00,25.43,25.86,26.29,26.73,27.17,27.62,28.06,28.51,28.97
ARG,Argentina,Male,18.63,19.09,19.56,20.04,20.52,21.01,21.51,22.01,22.52,23.03,23.55,24.08,24.61,25.14,25.68,26.23,26.78,27.34
ARM,Armenia,Female,16.48,16.76,17.05,17.37,17.69,18.04,18.39,18.77,19.15,19.54,19.95,20.36,20.78,21.22,21.66,22.10,22.56,23.03
ARM,Armenia,Male,10.59,10.86,11.15,11.46,11.77,12.11,12.45,12.81,13.19,13.57,13.97,14.38,14.80,15.23,15.67,16.12,16.58,17.07
ATG,Antigua and Barbuda,Female,17.78,18.20,18.63,19.06,19.49,19.93,20.37,20.81,21.26,21.72,22.19,22.67,23.17,23.68,24.21,24.75,25.31,25.90
ATG,Antigua and Barbuda,Male,6.60,6.85,7.09,7.34,7.59,7.84,8.10,8.36,8.63,8.90,9.19,9.48,9.79,10.12,10.47,10.83,11.21,11.62
AUS,Australia,Female,19.95,20.45,20.96,21.47,21.98,22.48,22.98,23.47,23.96,24.45,24.94,25.42,25.91,26.39,26.89,27.38,27.88,28.38
AUS,Australia,Male,19.32,19.90,20.49,21.08,21.67,22.27,22.86,23.45,24.04,24.64,25.23,25.83,26.44,27.04,27.66,28.28,28.92,29.56
AUT,Austria,Female,13.21,13.50,13.79,14.08,14.37,14.66,14.95,15.24,15.54,15.83,16.13,16.43,16.73,17.03,17.35,17.66,17.98,18.32
AUT,Austria,Male,13.92,14.34,14.76,15.19,15.63,16.07,16.51,16.96,17.41,17.87,18.34,18.81,19.29,19.78,20.28,20.80,21.32,21.86
